,Propeller,Motor,thrust_max_volt,thrust_max_power,thrust_max_amps,efficiency_max_volt,efficiency_max_power,efficiency_max_amps,current_max_volt,current_max_power,current_max_amps,Hover_time_3x_total,WeightForce,radius,pitch,Kv,Kt,Voltage,Weight
14377,apc_propellers_14x11,t_motor_AT4130KV300,139.5,201.66000000000003,158.28,92.37,89.2,91.58,382.38,723.4199999999998,473.7,1995.848511,65.0973358,177.8,279.4,312.91926309366823,0.03183098861837907,22.200000000000003,0.0028670793240000007
14428,apc_propellers_14x11,t_motor_P60KV340,135.35999999999999,139.5,135.42,80.32,80.14,80.33,412.08000000000004,433.25999999999993,410.52000000000004,1298.344848,65.0955734,177.8,279.4,314.02113291475587,0.02808616642798153,22.200000000000003,0.0026870793239999998
14475,apc_propellers_14x12,kde_direct_KDE700XF_295_G3,395.58000000000004,649.2,211.26000000000002,97.39999999999999,99.72000000000001,96.33,1075.8,981.9,877.9199999999998,1909.066956,65.1146393,177.8,304.8,315.0365815734053,0.0324,37.0,0.0046326618
14523,apc_propellers_14x12,t_motor_AT4130KV300,140.82,192.54000000000002,149.76000000000002,92.60000000000001,89.37,92.12,424.56,743.4599999999999,473.7,1752.134583,65.0975876,177.8,304.8,316.07363552266423,0.03183098861837907,22.200000000000003,0.0028926618000000006
14534,apc_propellers_14x12,t_motor_AntigravityMN5008KV340,123.77999999999999,98.82,93.41999999999999,78.0,80.64999999999999,81.22000000000001,379.32000000000005,249.42,221.04000000000002,1719.537414,65.0817108,177.8,304.8,316.3112937193694,0.02808616642798153,22.200000000000003,0.0012726617999999999
14574,apc_propellers_14x12,t_motor_P60KV340,136.2,134.4,128.76000000000002,80.39999999999999,80.5,80.82,454.67999999999995,444.47999999999996,410.52000000000004,1466.8070969999999,65.0958252,177.8,304.8,317.17550534375187,0.02808616642798153,22.200000000000003,0.0027126618
14621,apc_propellers_14x12E,kde_direct_KDE700XF_295_G3,354.36,331.26,271.92,95.60000000000001,96.39999999999999,98.59000000000002,1430.1600000000003,1276.68,877.9199999999998,2338.246581,65.1121674,177.8,304.8,318.19095400240127,0.0324,37.0,0.004380102887999999
14669,apc_propellers_14x12E,t_motor_AT4130KV300,130.8,211.68,177.96,95.82,92.82,94.60000000000001,240.36,670.26,473.7,2552.400513,65.0951157,177.8,304.8,319.22800795166023,0.03183098861837907,22.200000000000003,0.0026401028880000004
14683,apc_propellers_14x12E,t_motor_AntigravityMN6007IIKV320,124.61999999999999,137.52,137.58,89.64999999999999,88.89,88.89,225.18,279.06,279.18,2537.84436,65.0807648,177.8,304.8,319.5304820201941,0.029841551829730376,22.200000000000003,0.001176102888
14685,apc_propellers_14x12E,t_motor_AntigravityMN6007KV320,123.6,131.64000000000001,129.42,88.27,87.93,88.04,223.68,256.5,246.3,2313.3224490000002,65.0818863,177.8,304.8,319.5736926014132,0.029841551829730376,22.200000000000003,0.0012901028880000001
14720,apc_propellers_14x12E,t_motor_P60KV340,128.58,152.04,155.1,83.81,83.2,83.07,262.26,393.41999999999996,410.52000000000004,2019.954894,65.0933533,177.8,304.8,320.32987777274786,0.02808616642798153,22.200000000000003,0.0024601028880000004
